,date,ticker,pe_exi,de_ratio,close_price,exp_ret,vol,mom,Mkt-RF,SMB,HML,RMW,CMA,RF,ret_excess
29,2005-08-31,AAP,13.769491525423726,1.9739048469673586,34.44025802612305,0.05500369613606642,0.06811614306515881,0.8577578021546075,-1.22,-0.89,1.32,-2.05,0.37,0.003,0.05200369613606642
30,2005-09-30,AAP,13.11186440677966,1.9739048469673586,32.7953987121582,0.04543475191471894,0.0831906821000837,0.6440909886372554,0.49,-0.34,0.71,0.27,-0.6,0.0029,0.04253475191471894
31,2005-10-31,AAP,12.711864406779661,1.9739048469673586,31.794918060302734,0.04743604463282339,0.0803552054129623,0.686627766396307,-2.02,-1.45,0.42,-0.93,-1.29,0.0027,0.04473604463282339
32,2005-11-30,AAP,20.486766342478347,1.9644174356923252,35.89859390258789,0.03345972985581655,0.0778684133997171,0.437883624171552,3.61,0.84,-1.16,-0.76,-1.13,0.0031,0.03035972985581655
33,2005-12-31,AAP,21.028693085595393,1.9644174356923252,36.848201751708984,0.03965664403374977,0.0825320885971119,0.5392630541330459,-0.25,-0.2,0.2,0.22,0.23,0.0032,0.03645664403374977
34,2006-01-31,AAP,21.081918033580102,1.9644174356923252,36.94145965576172,0.03697330609183042,0.08238165216486465,0.49244471431286296,3.04,5.75,1.08,-0.65,-0.45,0.0034999999999999996,0.033473306091830426
35,2006-02-28,AAP,19.413145539906104,1.7638934039016234,35.0591926574707,0.038290775208502055,0.08162791705899197,0.516357240901135,-0.3,-0.42,-0.34,-0.51,1.91,0.0034000000000000002,0.034890775208502055
36,2006-03-31,AAP,19.549295774647888,1.7638934039016234,35.3565673828125,0.01996895821174265,0.07395899739678152,0.2311434150946985,1.46,3.39,0.6,0.06,-0.4,0.0037,0.01626895821174265
37,2006-04-30,AAP,18.88262910798122,1.7638934039016234,34.150840759277344,0.020560002814690587,0.07382524079100322,0.2398632266152949,0.73,-0.84,2.34,1.8,0.01,0.0036,0.016960002814690588
38,2006-05-31,AAP,17.406392694063925,1.808091794335711,32.36773681640625,0.012927901002600689,0.07439295845192774,0.13248266777193862,-3.57,-2.85,2.41,1.15,1.46,0.0043,0.008627901002600689
39,2006-06-30,AAP,13.19634703196347,1.808091794335711,24.578893661499023,-0.0006702660084682011,0.06960305877092506,-0.033855779455614354,-0.35,-0.24,0.85,1.32,-0.07,0.004,-0.004670266008468201
40,2006-07-31,AAP,13.821917808219178,1.808091794335711,25.744050979614258,-0.02814687624840655,0.09232291652486854,-0.32635536646676144,-0.78,-3.63,2.6,1.63,0.9,0.004,-0.03214687624840655
41,2006-08-31,AAP,13.81651376146789,1.7913543660642983,25.616474151611328,-0.029889711245696605,0.09051604880222999,-0.33954301903965,2.03,0.44,-2.06,-1.86,2.09,0.0042,-0.034089711245696604
