grid_case,C_svm_init,tau,lambda_hinge,goal_monthly,split,train_feas_pct,val_feas_pct,nn_mean_ret,nn_vol,nn_sharpe,svm_mean_ret,svm_vol,svm_sharpe
AI,1.0,0.1,0.1,0.006500000000000001,train,100.0,100.0,0.015359484503759109,0.026134204715611627,0.5877157797725597,0.012666446306193669,0.025942239728854885,0.48825569565671895
AI,1.0,0.1,0.1,0.006500000000000001,val,100.0,100.0,0.009697112787403216,0.028876212231313505,0.3358166476055957,0.00978585099819604,0.02835532032769281,0.3451151630367482
AJ,1.0,0.1,1.0,0.006500000000000001,test,100.0,100.0,0.015521906999403584,0.025722883009470083,0.6034279669617766,0.012096578624363731,0.025023236758615015,0.483413826139646
AJ,1.0,0.1,1.0,0.006500000000000001,train,100.0,100.0,0.015407324720072982,0.026236019411803077,0.5872584738428066,0.012666446306193669,0.025942239728854885,0.48825569565671895
AJ,1.0,0.1,1.0,0.006500000000000001,val,100.0,100.0,0.009757245351026888,0.02893508826170448,0.3372115288690295,0.00978585099819604,0.02835532032769281,0.3451151630367482
B,0.01,0.01,0.01,0.006500000000000001,test,100.0,100.0,0.020188162262536145,0.028979055494103505,0.6966466614464807,0.012096578624363731,0.025023236758615015,0.483413826139646
B,0.01,0.01,0.01,0.006500000000000001,train,100.0,100.0,0.016092959164821088,0.025855433184911555,0.6224207905977004,0.012666446306193669,0.025942239728854885,0.48825569565671895
B,0.01,0.01,0.01,0.006500000000000001,val,100.0,100.0,0.012563047774502581,0.03036788278718418,0.41369521418828475,0.00978585099819604,0.02835532032769281,0.3451151630367482
C,0.01,0.01,0.1,0.006500000000000001,test,100.0,100.0,0.01915576773840123,0.030570099518309447,0.6266177748718674,0.012096578624363731,0.025023236758615015,0.483413826139646
C,0.01,0.01,0.1,0.006500000000000001,train,100.0,100.0,0.016950478006706467,0.027551012458836507,0.6152397495887545,0.012666446306193669,0.025942239728854885,0.48825569565671895
C,0.01,0.01,0.1,0.006500000000000001,val,100.0,100.0,0.012371822314701018,0.029248982283360467,0.4229830014057028,0.00978585099819604,0.02835532032769281,0.3451151630367482
D,0.01,0.01,1.0,0.006500000000000001,test,100.0,100.0,0.019219695160980495,0.030599016959187392,0.6281147915956706,0.012096578624363731,0.025023236758615015,0.483413826139646
D,0.01,0.01,1.0,0.006500000000000001,train,100.0,100.0,0.017057531876598035,0.02770493176836346,0.6156857565504102,0.012666446306193669,0.025942239728854885,0.48825569565671895
D,0.01,0.01,1.0,0.006500000000000001,val,100.0,100.0,0.012193729225631578,0.029848434874345568,0.40852156156782093,0.00978585099819604,0.02835532032769281,0.3451151630367482
E,0.01,0.05,0.0,0.006500000000000001,test,100.0,100.0,0.012407964235517504,0.025033893674234257,0.49564659802771954,0.012096578624363731,0.025023236758615015,0.483413826139646
E,0.01,0.05,0.0,0.006500000000000001,train,100.0,100.0,0.012830433224281063,0.025891246989533604,0.4955509956307684,0.012666446306193669,0.025942239728854885,0.48825569565671895
E,0.01,0.05,0.0,0.006500000000000001,val,100.0,100.0,0.009785850516378614,0.028355324496245532,0.3451150953087919,0.00978585099819604,0.02835532032769281,0.3451151630367482
F,0.01,0.05,0.01,0.006500000000000001,test,100.0,100.0,0.015622904719453353,0.026172005073488422,0.5969319001348516,0.012096578624363731,0.025023236758615015,0.483413826139646
F,0.01,0.05,0.01,0.006500000000000001,train,100.0,100.0,0.014250588912560501,0.02563489882587769,0.5559057989188956,0.012666446306193669,0.025942239728854885,0.48825569565671895
F,0.01,0.05,0.01,0.006500000000000001,val,100.0,100.0,0.011097688932683729,0.029143631112788528,0.3807929385790625,0.00978585099819604,0.02835532032769281,0.3451151630367482
G,0.01,0.05,0.1,0.006500000000000001,test,100.0,100.0,0.017962785829033875,0.027413393187295302,0.6552558344620923,0.012096578624363731,0.025023236758615015,0.483413826139646
G,0.01,0.05,0.1,0.006500000000000001,train,100.0,100.0,0.016271816951291453,0.026743559178699618,0.6084387213367992,0.012666446306193669,0.025942239728854885,0.48825569565671895
G,0.01,0.05,0.1,0.006500000000000001,val,100.0,100.0,0.01033302637794529,0.02830790556347466,0.36502263844319316,0.00978585099819604,0.02835532032769281,0.3451151630367482
H,0.01,0.05,1.0,0.006500000000000001,test,100.0,100.0,0.0177843951206415,0.0268190970034026,0.663124307195057,0.012096578624363731,0.025023236758615015,0.483413826139646
H,0.01,0.05,1.0,0.006500000000000001,train,100.0,100.0,0.016293377856341173,0.02683185818288058,0.6072400109109675,0.012666446306193669,0.025942239728854885,0.48825569565671895
H,0.01,0.05,1.0,0.006500000000000001,val,100.0,100.0,0.01035570597271287,0.02830746166734788,0.3658295503157795,0.00978585099819604,0.02835532032769281,0.3451151630367482
I,0.01,0.1,0.0,0.006500000000000001,test,100.0,100.0,0.012096578865983575,0.025023236765076673,0.4834138356706348,0.012096578624363731,0.025023236758615015,0.483413826139646
