gvkey,permno,adate,qdate,public_date,CAPEI,bm,evm,pe_op_basic,pe_op_dil,pe_exi,pe_inc,ps,pcf,dpr,npm,opmbd,opmad,gpm,ptpm,cfm,roa,roe,roce,efftax,aftret_eq,aftret_invcapx,aftret_equity,pretret_noa,pretret_earnat,GProf,equity_invcap,debt_invcap,totdebt_invcap,capital_ratio,int_debt,int_totdebt,cash_lt,invt_act,rect_act,debt_at,debt_ebitda,short_debt,curr_debt,lt_debt,profit_lct,ocf_lct,cash_debt,fcf_ocf,lt_ppent,dltt_be,debt_assets,debt_capital,de_ratio,intcov,intcov_ratio,cash_ratio,quick_ratio,curr_ratio,cash_conversion,inv_turn,at_turn,rect_turn,pay_turn,sale_invcap,sale_equity,sale_nwc,rd_sale,adv_sale,staff_sale,accrual,ptb,PEG_trailing,divyield,TICKER,cusip
012141,10107,2016-06-30,2016-06-30,2016-09-30,24.921,0.184,16.710,25.830,26.063,27.429,27.429,5.252,13.447,0.674,0.197,0.318,0.250,0.685,0.231,0.274,0.147,0.215,0.176,0.150,0.221,0.163,0.221,0.226,0.143,0.302,0.634,0.366,0.480,0.366,0.038,0.029,0.931,0.016,0.131,0.281,2.005,0.237,0.488,0.341,0.458,0.561,0.274,0.750,6.630,0.565,0.628,0.460,1.690,13.912,16.366,1.908,2.315,2.353,20.849,10.441,0.461,4.716,3.892,0.751,1.185,1.062,0.141,0.019,0.000,-0.089,6.099,76.485,2.50%,MSFT,59491810
012141,10107,2016-06-30,2016-06-30,2016-10-31,25.910,0.184,16.710,26.870,27.113,28.533,28.533,5.461,13.980,0.674,0.197,0.318,0.250,0.685,0.231,0.274,0.147,0.215,0.176,0.150,0.221,0.163,0.221,0.226,0.143,0.302,0.634,0.366,0.480,0.366,0.038,0.029,0.931,0.016,0.131,0.281,2.005,0.237,0.488,0.341,0.458,0.561,0.274,0.750,6.630,0.565,0.628,0.460,1.690,13.912,16.366,1.908,2.315,2.353,20.849,10.441,0.461,4.716,3.892,0.751,1.185,1.062,0.141,0.019,0.000,-0.089,6.341,76.702,2.40%,MSFT,59491810
012141,10107,2016-06-30,2016-09-30,2016-11-30,25.566,0.160,16.643,25.643,26.087,27.391,27.391,5.394,12.915,0.645,0.202,0.336,0.256,0.696,0.242,0.274,0.160,0.227,0.183,0.150,0.233,0.165,0.233,0.229,0.152,0.315,0.615,0.385,0.462,0.385,0.031,0.026,0.967,0.019,0.101,0.288,1.893,0.166,0.433,0.389,0.569,0.707,0.274,0.748,6.755,0.610,0.617,0.458,1.613,13.273,15.523,2.234,2.648,2.699,2.517,10.048,0.452,6.187,3.830,0.727,1.182,0.997,0.140,0.019,0.000,-0.099,6.513,,2.59%,MSFT,59491810
012141,10107,2016-06-30,2016-09-30,2016-12-31,26.210,0.160,16.643,26.443,26.900,28.245,28.245,5.530,13.240,0.645,0.202,0.336,0.256,0.696,0.242,0.274,0.160,0.227,0.183,0.150,0.233,0.165,0.233,0.229,0.152,0.315,0.615,0.385,0.462,0.385,0.031,0.026,0.967,0.019,0.101,0.288,1.893,0.166,0.433,0.389,0.569,0.707,0.274,0.748,6.755,0.610,0.617,0.458,1.613,13.273,15.523,2.234,2.648,2.699,2.517,10.048,0.452,6.187,3.830,0.727,1.182,0.997,0.140,0.019,0.000,-0.099,6.677,,2.51%,MSFT,59491810
012141,10107,2016-06-30,2016-09-30,2017-01-31,27.260,0.160,16.643,27.511,27.987,29.386,29.386,5.751,13.770,0.645,0.202,0.336,0.256,0.696,0.242,0.274,0.160,0.227,0.183,0.150,0.233,0.165,0.233,0.229,0.152,0.315,0.615,0.385,0.462,0.385,0.031,0.026,0.967,0.019,0.101,0.288,1.893,0.166,0.433,0.389,0.569,0.707,0.274,0.748,6.755,0.610,0.617,0.458,1.613,13.273,15.523,2.234,2.648,2.699,2.517,10.048,0.452,6.187,3.830,0.727,1.182,0.997,0.140,0.019,0.000,-0.099,6.945,,2.41%,MSFT,59491810
012141,10107,2016-06-30,2016-12-31,2017-02-28,27.325,0.146,15.982,25.289,25.695,26.882,26.882,5.561,13.371,0.611,0.212,0.356,0.271,0.709,0.261,0.277,0.165,0.249,0.187,0.150,0.256,0.168,0.256,0.230,0.154,0.310,0.583,0.417,0.537,0.417,0.032,0.025,0.908,0.017,0.098,0.324,2.076,0.223,0.443,0.388,0.543,0.634,0.274,0.754,6.950,0.698,0.648,0.503,1.842,12.450,14.664,2.051,2.405,2.447,20.849,10.567,0.438,6.350,3.785,0.725,1.243,1.053,0.138,0.019,0.000,-0.091,7.069,5.429,2.44%,MSFT,59491810
012141,10107,2016-06-30,2016-12-31,2017-03-31,28.111,0.146,15.982,26.032,26.450,27.672,27.672,5.722,13.756,0.611,0.212,0.356,0.271,0.709,0.261,0.277,0.165,0.249,0.187,0.150,0.256,0.168,0.256,0.230,0.154,0.310,0.583,0.417,0.537,0.417,0.032,0.025,0.908,0.017,0.098,0.324,2.076,0.223,0.443,0.388,0.543,0.634,0.274,0.754,6.950,0.698,0.648,0.503,1.842,12.450,14.664,2.051,2.405,2.447,20.849,10.567,0.438,6.350,3.785,0.725,1.243,1.053,0.138,0.019,0.000,-0.091,7.272,5.588,2.37%,MSFT,59491810
012141,10107,2016-06-30,2016-12-31,2017-04-30,29.211,0.146,15.982,27.059,27.494,28.765,28.765,5.945,14.295,0.611,0.212,0.356,0.271,0.709,0.261,0.277,0.165,0.249,0.187,0.150,0.256,0.168,0.256,0.230,0.154,0.310,0.583,0.417,0.537,0.417,0.032,0.025,0.908,0.017,0.098,0.324,2.076,0.223,0.443,0.388,0.543,0.634,0.274,0.754,6.950,0.698,0.648,0.503,1.842,12.450,14.664,2.051,2.405,2.447,20.849,10.567,0.438,6.350,3.785,0.725,1.243,1.053,0.138,0.019,0.000,-0.091,7.557,5.809,2.28%,MSFT,59491810
012141,10107,2016-06-30,2017-03-31,2017-05-31,30.033,0.138,15.787,25.304,25.676,26.759,26.759,5.888,14.586,0.567,0.224,0.370,0.279,0.722,0.276,0.286,0.167,0.281,0.186,0.150,0.287,0.181,0.287,0.247,0.158,0.309,0.538,0.462,0.579,0.462,0.032,0.025,0.868,0.016,0.096,0.353,2.232,0.202,0.419,0.420,0.562,0.614,0.274,0.770,7.105,0.845,0.672,0.539,2.047,11.744,13.354,2.071,2.405,2.444,20.849,10.926,0.428,6.469,3.843,0.701,1.304,1.053,0.138,0.019,0.000,-0.079,7.682,1.785,2.23%,MSFT,59491810
012141,10107,2016-06-30,2017-03-31,2017-06-30,29.593,0.138,15.787,24.975,25.342,26.410,26.410,5.802,14.373,0.567,0.224,0.370,0.279,0.722,0.276,0.286,0.167,0.281,0.186,0.150,0.287,0.181,0.287,0.247,0.158,0.309,0.538,0.462,0.579,0.462,0.032,0.025,0.868,0.016,0.096,0.353,2.232,0.202,0.419,0.420,0.562,0.614,0.274,0.770,7.105,0.845,0.672,0.539,2.047,11.744,13.354,2.071,2.405,2.444,20.849,10.926,0.428,6.469,3.843,0.701,1.304,1.053,0.138,0.019,0.000,-0.079,7.569,1.762,2.26%,MSFT,59491810
