PERMNO,date,NAMEENDT,SHRCD,EXCHCD,SICCD,NCUSIP,TICKER,COMNAM,SHRCLS,TSYMBOL,NAICS,PRIMEXCH,TRDSTAT,SECSTAT,PERMCO,ISSUNO,HEXCD,HSICCD,CUSIP,DCLRDT,DLAMT,DLPDT,DLSTCD,NEXTDT,PAYDT,RCRDDT,SHRFLG,HSICMG,HSICIG,DISTCD,DIVAMT,FACPR,FACSHR,ACPERM,ACCOMP,SHRENDDT,NWPERM,DLRETX,DLPRC,DLRET,TRTSCD,NMSIND,MMCNT,NSDINX,BIDLO,ASKHI,PRC,VOL,RET,BID,ASK,SHROUT,CFACPR,CFACSHR,OPENPRC,NUMTRD,RETX,vwretd,vwretx,ewretd,ewretx,sprtrn
10107,2019-03-12,,11,3,7370,59491810,MSFT,MICROSOFT CORP,,MSFT,511210,Q,A,R,8048,10539,3,7370,59491810,,,,,,,,,,,,,,,,,,,,,,,,,,112.64990,113.99000,113.62000,26219725,0.007002,113.64000,113.65000,7672213,1,1,112.82000,162056,0.007002,0.002743,0.002709,0.002639,0.002589,0.002953
10107,2019-03-13,,11,3,7370,59491810,MSFT,MICROSOFT CORP,,MSFT,511210,Q,A,R,8048,10539,3,7370,59491810,,,,,,,,,,,,,,,,,,,,,,,,,,113.78000,115.00000,114.50000,35504271,0.007745,114.50000,114.51000,7672213,1,1,114.13000,167373,0.007745,0.006419,0.006357,0.004495,0.004448,0.006950
10107,2019-03-14,,11,3,7370,59491810,MSFT,MICROSOFT CORP,,MSFT,511210,Q,A,R,8048,10539,3,7370,59491810,,,,,,,,,,,,,,,,,,,,,,,,,,114.33000,115.20000,114.59000,30747567,0.000786,114.57000,114.58000,7672213,1,1,114.54000,142812,0.000786,-0.000989,-0.001326,-0.001548,-0.001928,-0.000868
10107,2019-03-15,,11,3,7370,59491810,MSFT,MICROSOFT CORP,,MSFT,511210,Q,A,R,8048,10539,3,7370,59491810,,,,,,,,,,,,,,,,,,,,,,,,,,114.59000,117.25000,115.91000,54659975,0.011519,115.89000,115.91000,7672213,1,1,115.34000,211227,0.011519,0.004549,0.004452,0.003170,0.003049,0.004985
10107,2019-03-18,,11,3,7370,59491810,MSFT,MICROSOFT CORP,,MSFT,511210,Q,A,R,8048,10539,3,7370,59491810,,,,,,,,,,,,,,,,,,,,,,,,,,116.05000,117.61000,117.57000,31198896,0.014321,117.58000,117.59000,7672213,1,1,116.17000,165126,0.014321,0.004449,0.004420,0.006075,0.005930,0.003706
10107,2019-03-19,,11,3,7370,59491810,MSFT,MICROSOFT CORP,,MSFT,511210,Q,A,R,8048,10539,3,7370,59491810,,,,,,,,,,,,,,,,,,,,,,,,,,116.99000,118.44000,117.65000,37585722,0.000680,117.68000,117.71000,7672213,1,1,118.09000,192201,0.000680,-0.000676,-0.000723,-0.001410,-0.001522,-0.000131
10107,2019-03-20,,11,3,7370,59491810,MSFT,MICROSOFT CORP,,MSFT,511210,Q,A,R,8048,10539,3,7370,59491810,,,,,,,,,,,,,,,,,,,,,,,,,,116.71000,118.75000,117.52000,28108943,-0.001105,117.51000,117.52000,7672213,1,1,117.39000,179275,-0.001105,-0.003146,-0.003266,-0.002614,-0.002785,-0.002944
10107,2019-03-21,,11,3,7370,59491810,MSFT,MICROSOFT CORP,,MSFT,511210,Q,A,R,8048,10539,3,7370,59491810,,,,,,,,,,,,,,,,,,,,,,,,,,117.09000,120.82000,120.22000,29849246,0.022975,120.63000,120.64000,7672213,1,1,117.13500,178406,0.022975,0.010294,0.010214,0.005282,0.005128,0.010853
10107,2019-03-22,,11,3,7370,59491810,MSFT,MICROSOFT CORP,,MSFT,511210,Q,A,R,8048,10539,3,7370,59491810,,,,,,,,,,,,,,,,,,,,,,,,,,117.04000,119.59000,117.05000,33822376,-0.026368,117.05000,117.06000,7672213,1,1,119.50000,218241,-0.026368,-0.020352,-0.020404,-0.022043,-0.022070,-0.018975
10107,2019-03-25,,11,3,7370,59491810,MSFT,MICROSOFT CORP,,MSFT,511210,Q,A,R,8048,10539,3,7370,59491810,,,,,,,,,,,,,,,,,,,,,,,,,,116.32240,118.01000,117.66000,27062241,0.005211,117.63000,117.66000,7672213,1,1,116.56000,193553,0.005211,-0.000328,-0.000413,-0.000245,-0.000300,-0.000839
10107,2019-03-26,,11,3,7370,59491810,MSFT,MICROSOFT CORP,,MSFT,511210,Q,A,R,8048,10539,3,7370,59491810,,,,,,,,,,,,,,,,,,,,,,,,,,116.85000,118.70500,117.91000,26094665,0.002125,117.92000,117.93000,7672213,1,1,118.62000,188591,0.002125,0.007719,0.007711,0.006267,0.006223,0.007183
10107,2019-03-27,,11,3,7370,59491810,MSFT,MICROSOFT CORP,,MSFT,511210,Q,A,R,8048,10539,3,7370,59491810,,,,,,,,,,,,,,,,,,,,,,,,,,115.52150,118.21000,116.77000,22728727,-0.009668,116.77000,116.78000,7672213,1,1,117.87500,166731,-0.009668,-0.004686,-0.004709,-0.002540,-0.002566,-0.004644
10107,2019-03-28,,11,3,7370,59491810,MSFT,MICROSOFT CORP,,MSFT,511210,Q,A,R,8048,10539,3,7370,59491810,,,,,,,,,,,,,,,,,,,,,,,,,,116.13000,117.58000,116.93000,18333555,0.001370,116.93000,116.94000,7672213,1,1,117.44000,134683,0.001370,0.004111,0.003829,0.003870,0.003583,0.003590
10107,2019-03-29,,11,3,7370,59491810,MSFT,MICROSOFT CORP,,MSFT,511210,Q,A,R,8048,10539,3,7370,59491810,,,,,,,,0,,,,,,,,,2019-04-17,,,,,1,6,66,1,116.96000,118.32000,117.94000,25387852,0.008638,117.94000,117.95000,7666000,1,1,118.07000,137446,0.008638,0.006019,0.005974,0.002876,0.002821,0.006734
