PERMNO,date,SHRCD,EXCHCD,SICCD,NCUSIP,TICKER,COMNAM,TSYMBOL,NAICS,PRIMEXCH,TRDSTAT,SECSTAT,PERMCO,ISSUNO,HEXCD,HSICCD,CUSIP,BIDLO,ASKHI,PRC,VOL,RET,BID,ASK,SHROUT,CFACPR,CFACSHR,OPENPRC,RETX,vwretd,vwretx,ewretd,ewretx,sprtrn
10107,2019-03-05,11,3,7370,59491810,MSFT,MICROSOFT CORP,MSFT,511210,Q,A,R,8048,10539,3,7370,59491810,111.23,112.39,111.7,19537018,-0.004988,111.67,111.68,7672213,1.0,1,112.25,-0.004988,-0.00132,-0.001347,-0.001251,-0.001273,-0.001131
10107,2019-03-06,11,3,7370,59491810,MSFT,MICROSOFT CORP,MSFT,511210,Q,A,R,8048,10539,3,7370,59491810,111.43,112.66,111.75,17680096,0.000448,111.74,111.75,7672213,1.0,1,111.87,0.000448,-0.007768,-0.007803,-0.012423,-0.012443,-0.006524
10107,2019-03-07,11,3,7370,59491810,MSFT,MICROSOFT CORP,MSFT,511210,Q,A,R,8048,10539,3,7370,59491810,109.865,111.55,110.39,25431238,-0.01217,110.37,110.39,7672213,1.0,1,111.4,-0.01217,-0.007494,-0.007681,-0.005773,-0.005884,-0.008126
10107,2019-03-08,11,3,7370,59491810,MSFT,MICROSOFT CORP,MSFT,511210,Q,A,R,8048,10539,3,7370,59491810,108.8,110.71,110.51,22817031,0.001087,110.51,110.52,7672213,1.0,1,109.16,0.001087,-0.0019,-0.001999,-0.002342,-0.002463,-0.002132
10107,2019-03-11,11,3,7370,59491810,MSFT,MICROSOFT CORP,MSFT,511210,Q,A,R,8048,10539,3,7370,59491810,110.98,112.95,112.83,26480123,0.020994,112.82,112.83,7672213,1.0,1,110.99,0.020994,0.014348,0.014321,0.013281,0.01323,0.014666
10107,2019-03-12,11,3,7370,59491810,MSFT,MICROSOFT CORP,MSFT,511210,Q,A,R,8048,10539,3,7370,59491810,112.6499,113.99,113.62,26219725,0.007002,113.64,113.65,7672213,1.0,1,112.82,0.007002,0.002743,0.002709,0.002639,0.002589,0.002953
10107,2019-03-13,11,3,7370,59491810,MSFT,MICROSOFT CORP,MSFT,511210,Q,A,R,8048,10539,3,7370,59491810,113.78,115.0,114.5,35504271,0.007745,114.5,114.51,7672213,1.0,1,114.13,0.007745,0.006419,0.006357,0.004495,0.004448,0.00695
10107,2019-03-14,11,3,7370,59491810,MSFT,MICROSOFT CORP,MSFT,511210,Q,A,R,8048,10539,3,7370,59491810,114.33,115.2,114.59,30747567,0.000786,114.57,114.58,7672213,1.0,1,114.54,0.000786,-0.000989,-0.001326,-0.001548,-0.001928,-0.000868
10107,2019-03-15,11,3,7370,59491810,MSFT,MICROSOFT CORP,MSFT,511210,Q,A,R,8048,10539,3,7370,59491810,114.59,117.25,115.91,54659975,0.011519,115.89,115.91,7672213,1.0,1,115.34,0.011519,0.004549,0.004452,0.00317,0.003049,0.004985
10107,2019-03-18,11,3,7370,59491810,MSFT,MICROSOFT CORP,MSFT,511210,Q,A,R,8048,10539,3,7370,59491810,116.05,117.61,117.57,31198896,0.014321,117.58,117.59,7672213,1.0,1,116.17,0.014321,0.004449,0.00442,0.006075,0.00593,0.003706
10107,2019-03-19,11,3,7370,59491810,MSFT,MICROSOFT CORP,MSFT,511210,Q,A,R,8048,10539,3,7370,59491810,116.99,118.44,117.65,37585722,0.00068,117.68,117.71,7672213,1.0,1,118.09,0.00068,-0.000676,-0.000723,-0.00141,-0.001522,-0.000131
10107,2019-03-20,11,3,7370,59491810,MSFT,MICROSOFT CORP,MSFT,511210,Q,A,R,8048,10539,3,7370,59491810,116.71,118.75,117.52,28108943,-0.001105,117.51,117.52,7672213,1.0,1,117.39,-0.001105,-0.003146,-0.003266,-0.002614,-0.002785,-0.002944
10107,2019-03-21,11,3,7370,59491810,MSFT,MICROSOFT CORP,MSFT,511210,Q,A,R,8048,10539,3,7370,59491810,117.09,120.82,120.22,29849246,0.022975,120.63,120.64,7672213,1.0,1,117.135,0.022975,0.010294,0.010214,0.005282,0.005128,0.010853
10107,2019-03-22,11,3,7370,59491810,MSFT,MICROSOFT CORP,MSFT,511210,Q,A,R,8048,10539,3,7370,59491810,117.04,119.59,117.05,33822376,-0.026368,117.05,117.06,7672213,1.0,1,119.5,-0.026368,-0.020352,-0.020404,-0.022043,-0.02207,-0.018975
10107,2019-03-25,11,3,7370,59491810,MSFT,MICROSOFT CORP,MSFT,511210,Q,A,R,8048,10539,3,7370,59491810,116.3224,118.01,117.66,27062241,0.005211,117.63,117.66,7672213,1.0,1,116.56,0.005211,-0.000328,-0.000413,-0.000245,-0.0003,-0.000839
10107,2019-03-26,11,3,7370,59491810,MSFT,MICROSOFT CORP,MSFT,511210,Q,A,R,8048,10539,3,7370,59491810,116.85,118.705,117.91,26094665,0.002125,117.92,117.93,7672213,1.0,1,118.62,0.002125,0.007719,0.007711,0.006267,0.006223,0.007183
10107,2019-03-27,11,3,7370,59491810,MSFT,MICROSOFT CORP,MSFT,511210,Q,A,R,8048,10539,3,7370,59491810,115.5215,118.21,116.77,22728727,-0.009668,116.77,116.78,7672213,1.0,1,117.875,-0.009668,-0.004686,-0.004709,-0.00254,-0.002566,-0.004644
10107,2019-03-28,11,3,7370,59491810,MSFT,MICROSOFT CORP,MSFT,511210,Q,A,R,8048,10539,3,7370,59491810,116.13,117.58,116.93,18333555,0.00137,116.93,116.94,7672213,1.0,1,117.44,0.00137,0.004111,0.003829,0.00387,0.003583,0.00359
10107,2019-03-29,11,3,7370,59491810,MSFT,MICROSOFT CORP,MSFT,511210,Q,A,R,8048,10539,3,7370,59491810,116.96,118.32,117.94,25387852,0.008638,117.94,117.95,7666000,1.0,1,118.07,0.008638,0.006019,0.005974,0.002876,0.002821,0.006734
10107,2019-04-01,11,3,7370,59491810,MSFT,MICROSOFT CORP,MSFT,511210,Q,A,R,8048,10539,3,7370,59491810,118.1,119.1085,119.02,22802687,0.009157,119.01,119.04,7666000,1.0,1,118.95,0.009157,0.011239,0.011166,0.00978,0.009658,0.011569
10107,2019-04-02,11,3,7370,59491810,MSFT,MICROSOFT CORP,MSFT,511210,Q,A,R,8048,10539,3,7370,59491810,118.52,119.48,119.19,18138297,0.001428,119.19,119.19,7666000,1.0,1,119.06,0.001428,-0.000146,-0.000181,-0.000222,-0.000269,1.7e-05
10107,2019-04-03,11,3,7370,59491810,MSFT,MICROSOFT CORP,MSFT,511210,Q,A,R,8048,10539,3,7370,59491810,119.15,120.43,119.97,22857044,0.006544,119.96,119.97,7666000,1.0,1,119.86,0.006544,0.002548,0.00254,0.002333,0.002309,0.002148
10107,2019-04-04,11,3,7370,59491810,MSFT,MICROSOFT CORP,MSFT,511210,Q,A,R,8048,10539,3,7370,59491810,118.38,120.23,119.36,20107448,-0.005085,119.33,119.34,7666000,1.0,1,120.1,-0.005085,0.001939,0.001779,0.002985,0.002939,0.002085
10107,2019-04-05,11,3,7370,59491810,MSFT,MICROSOFT CORP,MSFT,511210,Q,A,R,8048,10539,3,7370,59491810,119.37,120.23,119.89,15811745,0.00444,119.88,119.89,7666000,1.0,1,119.39,0.00444,0.005114,0.005107,0.007044,0.007031,0.004636
10107,2019-04-08,11,3,7370,59491810,MSFT,MICROSOFT CORP,MSFT,511210,Q,A,R,8048,10539,3,7370,59491810,118.64,120.02,119.93,15111375,0.000334,119.89,119.91,7666000,1.0,1,119.81,0.000334,0.001042,0.001026,0.00101,0.000995,0.001047
10107,2019-04-09,11,3,7370,59491810,MSFT,MICROSOFT CORP,MSFT,511210,Q,A,R,8048,10539,3,7370,59491810,118.58,119.54,119.28,17606600,-0.00542,119.29,119.32,7666000,1.0,1,118.63,-0.00542,-0.006282,-0.00651,-0.006985,-0.007011,-0.006067
10107,2019-04-10,11,3,7370,59491810,MSFT,MICROSOFT CORP,MSFT,511210,Q,A,R,8048,10539,3,7370,59491810,119.54,120.35,120.19,16474569,0.007629,120.22,120.23,7666000,1.0,1,119.76,0.007629,0.004781,0.004715,0.006191,0.006139,0.003478
10107,2019-04-11,11,3,7370,59491810,MSFT,MICROSOFT CORP,MSFT,511210,Q,A,R,8048,10539,3,7370,59491810,119.92,120.85,120.33,14204789,0.001165,120.32,120.33,7666000,1.0,1,120.54,0.001165,-0.000123,-0.000139,-0.001768,-0.001817,3.8e-05
10107,2019-04-12,11,3,7370,59491810,MSFT,MICROSOFT CORP,MSFT,511210,Q,A,R,8048,10539,3,7370,59491810,120.37,120.98,120.95,19739411,0.005152,120.95,120.98,7666000,1.0,1,120.64,0.005152,0.006427,0.006341,0.002535,0.002389,0.006609
10107,2019-04-15,11,3,7370,59491810,MSFT,MICROSOFT CORP,MSFT,511210,Q,A,R,8048,10539,3,7370,59491810,120.57,121.58,121.05,15787138,0.000827,121.05,121.06,7666000,1.0,1,120.94,0.000827,-0.001019,-0.00105,-0.003526,-0.00355,-0.000629
10107,2019-04-16,11,3,7370,59491810,MSFT,MICROSOFT CORP,MSFT,511210,Q,A,R,8048,10539,3,7370,59491810,120.1,121.65,120.77,14069587,-0.002313,120.78,120.79,7666000,1.0,1,121.64,-0.002313,0.000713,0.000698,0.000853,0.000809,0.000509
10107,2019-04-17,11,3,7370,59491810,MSFT,MICROSOFT CORP,MSFT,511210,Q,A,R,8048,10539,3,7370,59491810,120.54,121.85,121.77,19294080,0.00828,121.74,121.75,7666000,1.0,1,121.24,0.00828,-0.003057,-0.003127,-0.005654,-0.005707,-0.002274
10107,2019-04-18,11,3,7370,59491810,MSFT,MICROSOFT CORP,MSFT,511210,Q,A,R,8048,10539,3,7370,59491810,121.3018,123.52,123.37,28036227,0.01314,123.36,123.38,7662818,1.0,1,122.19,0.01314,0.001078,0.001059,-0.000348,-0.00039,0.001579
10107,2019-04-22,11,3,7370,59491810,MSFT,MICROSOFT CORP,MSFT,511210,Q,A,R,8048,10539,3,7370,59491810,122.57,124.0,123.76,15641144,0.003161,123.74,123.76,7662818,1.0,1,122.62,0.003161,0.00055,0.000523,-0.001071,-0.001154,0.001012
10107,2019-04-23,11,3,7370,59491810,MSFT,MICROSOFT CORP,MSFT,511210,Q,A,R,8048,10539,3,7370,59491810,123.83,125.58,125.44,24018821,0.013575,125.43,125.45,7662818,1.0,1,124.1,0.013575,0.008919,0.008838,0.008481,0.008338,0.008841
10107,2019-04-24,11,3,7370,59491810,MSFT,MICROSOFT CORP,MSFT,511210,Q,A,R,8048,10539,3,7370,59491810,124.52,125.85,125.01,31246730,-0.003428,125.07,125.1,7662818,1.0,1,125.79,-0.003428,-0.002067,-0.0021,-0.001668,-0.00168,-0.002192
10107,2019-04-25,11,3,7370,59491810,MSFT,MICROSOFT CORP,MSFT,511210,Q,A,R,8048,10539,3,7370,59491810,128.83,131.37,129.14999,38033668,0.033117,129.07001,129.08,7662818,1.0,1,130.06,0.033117,-0.001464,-0.001472,-0.0052,-0.005228,-0.000369
10107,2019-04-26,11,3,7370,59491810,MSFT,MICROSOFT CORP,MSFT,511210,Q,A,R,8048,10539,3,7370,59491810,129.02,130.5152,129.89,23651801,0.00573,129.88,129.89,7662818,1.0,1,129.7,0.00573,0.005368,0.005324,0.005863,0.005817,0.004685
